state,county_name,precinct,year,pres.dem,pres.gop,gov.dem,gov.gop,statehouse.dem,statehouse.gop,dem_share_pres,dem_share_gov ,dem_share_statehouse
NORTH CAROLINA,ALAMANCE,1,2024,587,2431,775,2069,524,2457,19.44996687,27.25035162,17.57799396
NORTH CAROLINA,ALAMANCE,2,2024,632,2558,917,2064,590,2560,19.81191223,30.76148943,18.73015873
NORTH CAROLINA,ALAMANCE,35,2024,1642,1980,1903,1526,1597,1961,45.33406957,55.49722951,44.88476672
NORTH CAROLINA,ALAMANCE,03C,2024,872,1124,1111,740,807,1213,43.68737475,60.02160994,39.95049505
NORTH CAROLINA,ALAMANCE,03N,2024,1433,1150,1640,799,1323,1221,55.47812621,67.24067241,52.00471698
NORTH CAROLINA,ALAMANCE,03N2,2024,353,296,431,177,317,316,54.39137134,70.88815789,50.07898894
NORTH CAROLINA,ALAMANCE,03SE,2024,1540,1359,1728,1008,1492,1368,53.12176613,63.15789474,52.16783217
NORTH CAROLINA,ALAMANCE,03SM,2024,1575,1460,1842,1020,1532,1484,51.89456343,64.360587,50.79575597
NORTH CAROLINA,ALAMANCE,03W,2024,1048,1440,1293,1060,1002,1469,42.1221865,54.95112622,40.55038446
NORTH CAROLINA,ALAMANCE,4,2024,733,2621,984,2217,723,2635,21.85450209,30.74039363,21.53067302
NORTH CAROLINA,ALAMANCE,5,2024,460,1821,648,1497,451,1814,20.1665936,30.20979021,19.91169978
NORTH CAROLINA,ALAMANCE,63,2024,1165,616,1242,467,1147,602,65.4126895,72.67407841,65.58033162
NORTH CAROLINA,ALAMANCE,64,2024,1715,2230,2086,1634,1684,2266,43.47275032,56.07526882,42.63291139
NORTH CAROLINA,ALAMANCE,06E,2024,875,822,989,612,863,822,51.56157926,61.77389132,51.21661721
NORTH CAROLINA,ALAMANCE,06N,2024,997,565,1042,444,978,567,63.8284251,70.12113055,63.30097087
NORTH CAROLINA,ALAMANCE,06S,2024,1278,1462,1505,1102,1272,1453,46.64233577,57.72919064,46.67889908
NORTH CAROLINA,ALAMANCE,06W,2024,403,358,460,260,413,335,52.95663601,63.88888889,55.21390374
NORTH CAROLINA,ALAMANCE,7,2024,627,2087,850,1726,600,2083,23.10243183,32.99689441,22.36302646
NORTH CAROLINA,ALAMANCE,08N,2024,883,1500,1065,1237,871,1522,37.05413345,46.26411816,36.397827
NORTH CAROLINA,ALAMANCE,08S,2024,374,872,473,715,357,885,30.01605136,39.81481481,28.74396135
NORTH CAROLINA,ALAMANCE,09N,2024,984,1099,1132,846,954,1118,47.23955833,57.22952477,46.04247104
NORTH CAROLINA,ALAMANCE,09S,2024,1616,2334,1888,1897,1588,2330,40.91139241,49.88110964,40.5308831
NORTH CAROLINA,ALAMANCE,103,2024,1548,1827,1811,1371,1547,1823,45.86666667,56.91389063,45.90504451
NORTH CAROLINA,ALAMANCE,104,2024,1079,625,1188,442,1077,620,63.32159624,72.88343558,63.46493813
NORTH CAROLINA,ALAMANCE,10N,2024,1259,1664,1473,1275,1221,1685,43.07218611,53.60262009,42.01651755
NORTH CAROLINA,ALAMANCE,10S1,2024,2642,2048,2986,1474,2595,2052,56.3326226,66.95067265,55.84247902
NORTH CAROLINA,ALAMANCE,11,2024,1310,1501,1462,1242,1293,1518,46.60263252,54.06804734,45.99786553
NORTH CAROLINA,ALAMANCE,1210,2024,680,621,751,471,675,622,52.26748655,61.45662848,52.04317656
NORTH CAROLINA,ALAMANCE,124,2024,646,685,750,497,631,704,48.53493614,60.14434643,47.2659176
NORTH CAROLINA,ALAMANCE,125,2024,682,855,827,618,661,856,44.37215355,57.23183391,43.57284113
NORTH CAROLINA,ALAMANCE,126,2024,682,812,846,548,618,856,45.64926372,60.68866571,41.92672999
NORTH CAROLINA,ALAMANCE,127,2024,1970,883,2090,700,1996,875,69.05012268,74.91039427,69.52281435
NORTH CAROLINA,ALAMANCE,128,2024,757,364,801,289,731,381,67.52899197,73.48623853,65.73741007
NORTH CAROLINA,ALAMANCE,129,2024,516,847,632,652,503,867,37.85766691,49.2211838,36.71532847
NORTH CAROLINA,ALAMANCE,12E,2024,622,327,651,253,617,319,65.5426765,72.01327434,65.91880342
NORTH CAROLINA,ALAMANCE,12N,2024,1690,437,1743,335,1707,420,79.45463094,83.87872955,80.2538787
NORTH CAROLINA,ALAMANCE,12S,2024,456,295,497,201,460,280,60.71904128,71.2034384,62.16216216
NORTH CAROLINA,ALAMANCE,12W,2024,847,634,973,451,811,672,57.1910871,68.32865169,54.68644639
NORTH CAROLINA,ALAMANCE,13,2024,1446,1327,1633,1043,1444,1322,52.14569059,61.02391629,52.20535069
NORTH CAROLINA,ALEXANDER,B1,2024,568,1909,769,1583,547,1881,22.93096488,32.69557823,22.52883031
NORTH CAROLINA,ALEXANDER,B2,2024,641,2310,890,1874,636,2256,21.72145036,32.19971056,21.99170124
NORTH CAROLINA,ALEXANDER,E,2024,386,1588,507,1347,422,1510,19.55420466,27.34627832,21.8426501
NORTH CAROLINA,ALEXANDER,G1G2,2024,205,1106,266,997,224,1054,15.63691838,21.06096595,17.52738654
NORTH CAROLINA,ALEXANDER,LRSL,2024,191,1360,300,1199,238,1280,12.31463572,20.01334223,15.67852437
NORTH CAROLINA,ALEXANDER,M,2024,259,1127,354,950,266,1079,18.68686869,27.14723926,19.77695167
NORTH CAROLINA,ALEXANDER,S1S2,2024,351,1757,446,1530,383,1650,16.65085389,22.5708502,18.83915396
NORTH CAROLINA,ALEXANDER,T1T4T5,2024,654,2393,835,2027,686,2249,21.46373482,29.17540182,23.37308348
NORTH CAROLINA,ALEXANDER,T2T3,2024,535,1614,696,1369,576,1512,24.89530014,33.70460048,27.5862069
NORTH CAROLINA,ALEXANDER,W,2024,270,1240,372,1054,274,1192,17.8807947,26.08695652,18.69031378
NORTH CAROLINA,ALLEGHANY,1,2024,43,198,75,149,51,183,17.84232365,33.48214286,21.79487179
NORTH CAROLINA,ALLEGHANY,03A,2024,98,357,151,265,117,314,21.53846154,36.29807692,27.14617169
NORTH CAROLINA,ALLEGHANY,4,2024,41,255,67,214,45,237,13.85135135,23.84341637,15.95744681
NORTH CAROLINA,ALLEGHANY,06A,2024,62,243,109,186,79,218,20.32786885,36.94915254,26.5993266
NORTH CAROLINA,ALLEGHANY,PROVSIONAL,2024,2,11,3,7,3,8,15.38461538,30,27.27272727
NORTH CAROLINA,ANSON,ANS,2024,306,464,363,384,302,457,39.74025974,48.59437751,39.78919631
NORTH CAROLINA,ANSON,BURN,2024,232,848,298,740,210,849,21.48148148,28.70905588,19.83002833
NORTH CAROLINA,ANSON,GULL,2024,381,352,401,303,376,343,51.9781719,56.96022727,52.29485396
NORTH CAROLINA,ANSON,LILE,2024,911,693,943,615,873,705,56.79551122,60.52631579,55.32319392
NORTH CAROLINA,ANSON,MM,2024,582,210,606,161,568,210,73.48484848,79.00912647,73.00771208
NORTH CAROLINA,ANSON,PEAC,2024,193,814,257,712,192,794,19.16583913,26.52218782,19.47261663
NORTH CAROLINA,ANSON,POLK,2024,233,389,262,328,239,364,37.45980707,44.40677966,39.63515755
NORTH CAROLINA,ANSON,WADES,2024,2343,1576,2489,1289,2315,1550,59.78565961,65.88141874,59.89650712
NORTH CAROLINA,ANSON,WS,2024,72,179,89,149,70,173,28.68525896,37.39495798,28.80658436
NORTH CAROLINA,ASHE,2,2024,204,783,269,651,252,725,20.66869301,29.23913043,25.79324463
NORTH CAROLINA,ASHE,3,2024,83,285,105,238,89,276,22.55434783,30.6122449,24.38356164
NORTH CAROLINA,ASHE,4,2024,157,236,180,193,151,239,39.94910941,48.25737265,38.71794872
NORTH CAROLINA,ASHE,6,2024,87,307,121,245,101,294,22.08121827,33.06010929,25.56962025
NORTH CAROLINA,ASHE,7,2024,80,196,99,160,92,185,28.98550725,38.22393822,33.21299639
NORTH CAROLINA,ASHE,8,2024,52,109,57,97,54,108,32.29813665,37.01298701,33.33333333
NORTH CAROLINA,ASHE,9,2024,753,1964,988,1524,836,1829,27.71439087,39.33121019,31.369606
